mes_num,sen_mes,cos_mes,lag_1,pct_change,rolling_3,diff_1,tendencia,entidad_enc,real,pred,mes,entidad,error
12,-2.4492935982947064e-16,1.0,345.0,-0.4492753623188406,273.6666666666667,-155.0,2,1244.1493777659207,190,343.90527795815296,Diciembre,Durango,153.90527795815296
3,1.0,6.123233995736766e-17,1000.0,0.05600000000000005,1009.0,56.0,7,1334.136885381298,1056,1026.090667388168,Marzo,Michoacán de Ocampo,-29.909332611832042
5,0.49999999999999994,-0.8660254037844387,1014.0,0.08974358974358965,1033.0,91.0,8,1349.6816995364838,1105,1048.6035571789328,Mayo,Hidalgo,-56.39644282106724
4,0.8660254037844387,-0.4999999999999998,0.0,0.0,0.0,0.0,0,1081.9505145626536,27,39.778692460317465,Abril,Yucatán,12.778692460317465
3,1.0,6.123233995736766e-17,40.0,0.19999999999999996,38.666666666666664,8.0,7,1081.9505145626536,48,41.09364880952381,Marzo,Yucatán,-6.906351190476187
3,1.0,6.123233995736766e-17,2934.0,-0.0637355146557601,2793.3333333333335,-187.0,7,1737.3069565162714,2747,2718.4805436507945,Marzo,Puebla,-28.519456349205484
6,1.2246467991473532e-16,-1.0,514.0,0.04669260700389111,500.6666666666667,24.0,6,1240.5611419051631,538,528.2076924603174,Junio,Campeche,-9.79230753968261
1,0.49999999999999994,0.8660254037844387,458.0,0.14628820960698685,512.6666666666666,67.0,3,1240.5611419051631,525,539.1748463203463,Enero,Campeche,14.174846320346319
11,-0.5000000000000004,0.8660254037844384,988.0,-0.1497975708502024,923.3333333333334,-148.0,9,1338.764502505705,840,864.9314623015869,Noviembre,Aguascalientes,24.931462301586862
11,-0.5000000000000004,0.8660254037844384,533.0,-0.09005628517823638,564.6666666666666,-48.0,9,1231.9691066735654,485,546.8900802808303,Noviembre,Coahuila de Zaragoza,61.89008028083026
1,0.49999999999999994,0.8660254037844387,2978.0,-0.10040295500335794,2847.3333333333335,-299.0,3,1798.0184517808093,2679,2747.865434523811,Enero,Baja California,68.86543452381102
3,1.0,6.123233995736766e-17,185.0,0.12432432432432439,193.66666666666666,23.0,7,1147.557022364715,208,199.41827408702403,Marzo,Chiapas,-8.581725912975969
